City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Margate,GB,51.3813,1.3862,28.87,78,8,17.09,clear sky
308,Yoro,HN,15.1333,-87.1333,62.53,70,47,3.47,scattered clouds
309,Leh,IN,34.1667,77.5833,0.93,61,47,2.93,scattered clouds
310,Tugulym,RU,57.0591,64.6425,10.47,84,90,6.35,overcast clouds
311,Praia Da Vitoria,PT,38.7333,-27.0667,53.85,82,75,11.27,broken clouds
312,Ashington,GB,50.9331,-0.3909,31.42,86,3,1.99,clear sky
313,Dalvik,IS,65.9702,-18.5286,22.93,84,100,5.12,light snow
314,Pohrebyshche,UA,49.4864,29.2636,42.49,95,87,18.25,overcast clouds
315,Hay River,CA,60.8156,-115.7999,17.58,86,75,2.3,broken clouds
316,Brae,GB,60.3964,-1.353,39.99,67,91,21.9,overcast clouds
317,Carnarvon,AU,-24.8667,113.6333,90.5,49,26,11.88,scattered clouds
318,Rio Hato,PA,8.3833,-80.1667,79.79,84,77,9.95,broken clouds
319,Zahesi,GE,41.8246,44.7536,29.91,76,96,1.74,overcast clouds
320,Linjiang,CN,41.8069,126.9078,18.75,63,37,2.8,scattered clouds
321,Lleida,ES,41.6167,0.6167,39.88,79,0,26.46,clear sky
322,Parli,IN,18.8486,76.5297,73.42,36,21,4.12,few clouds
323,Thompson,CA,55.7435,-97.8558,12.36,92,100,2.3,light snow
324,Auki,SB,-8.7676,160.7034,82.33,81,97,10.76,moderate rain
325,Alice Springs,AU,-23.7,133.8833,94.55,34,40,12.66,scattered clouds
326,Itabira,BR,-19.6192,-43.2269,62.89,98,8,0.27,clear sky
327,Salalah,OM,17.0151,54.0924,71.69,73,40,4.61,scattered clouds
328,Patria,PH,11.7403,122.0171,80.44,85,100,8.14,overcast clouds
329,Port Blair,IN,11.6667,92.75,80.64,61,75,2.3,haze
330,Kisanga,TZ,-7.4362,37.7034,72.3,89,97,1.7,overcast clouds
331,Iquitos,PE,-3.7481,-73.2472,75.24,88,100,2.3,overcast clouds
332,San Felipe,VE,10.3399,-68.7425,70.03,95,68,3.02,broken clouds
333,Camacari,BR,-12.6975,-38.3242,80.37,89,97,3.4,overcast clouds
334,Kudat,MY,6.8837,116.8477,84.29,79,20,5.01,few clouds
335,Ostrovnoy,RU,68.0531,39.5131,21.94,92,8,22.82,clear sky
336,Takayama,JP,36.1333,137.25,40.59,68,84,6.2,broken clouds
337,Fenoarivo,MG,-18.933,47.4354,62.67,88,75,11.5,broken clouds
338,Elizabethtown,US,37.694,-85.8591,51.39,80,0,3.44,clear sky
339,Doka,SD,13.5167,35.7667,69.21,71,41,8.77,scattered clouds
340,Guerrero Negro,MX,27.9769,-114.0611,58.62,59,33,16.93,scattered clouds
341,Isla Mujeres,MX,21.2311,-86.731,77.16,64,1,14.41,clear sky
342,Bagdarin,RU,54.4333,113.6,-6.03,77,100,0.85,overcast clouds
343,Olafsvik,IS,64.8945,-23.7142,23.77,70,89,12.71,overcast clouds
